route_id,point_index,lat,lon,cum_distance_km,elevation_m_raw,elevation_m_smoothed,segment_length_m,delta_elevation_m,gradient_percent,cum_elevation_gain_m,cum_elevation_loss_m
manali_leh,0,32.243201,77.1892,0.0,1898.0,1904.3,0.0,0.0,0.0,0.0,0.0
manali_leh,1,32.24486514793822,77.1879790685906,0.218,1903.0,1905.5,217.8,0.0,0.0,0.0,0.0
manali_leh,2,32.24599218832104,77.19021235065682,0.462,1912.0,1908.8,244.6,3.3,1.35,3.3,0.0
manali_leh,3,32.24845337049805,77.19089219630946,0.743,1909.0,1917.0,281.0,8.2,2.92,11.5,0.0
manali_leh,4,32.25100808219811,77.1898878545529,1.043,1922.0,1923.8,299.4,6.8,2.27,18.3,0.0
manali_leh,5,32.25357394468067,77.18901347772126,1.34,1939.0,1929.8,296.9,6.0,2.02,24.3,0.0
manali_leh,6,32.25622614995051,77.18857078276926,1.638,1937.0,1939.6,297.8,9.8,3.29,34.1,0.0
manali_leh,7,32.25870881260974,77.1875145028006,1.931,1942.0,1949.8,293.4,10.2,3.48,44.3,0.0
manali_leh,8,32.26127173747781,77.18678691935028,2.224,1958.0,1956.6,293.1,6.8,2.32,51.1,0.0
manali_leh,9,32.26360007277304,77.18547424578011,2.511,1973.0,1966.4,286.8,9.8,3.42,60.9,0.0
manali_leh,10,32.26603094093338,77.18438323088483,2.8,1973.0,1976.8,289.1,10.4,3.6,71.3,0.0
manali_leh,11,32.26829472650498,77.18296737951623,3.085,1986.0,1986.6,284.8,9.8,3.44,81.1,0.0
manali_leh,12,32.27050231728405,77.18150157254514,3.366,1994.0,1997.0,281.5,10.4,3.69,91.5,0.0
manali_leh,13,32.27313300391512,77.180907168902,3.664,2007.0,2011.4,297.8,14.4,4.84,105.9,0.0
manali_leh,14,32.275775337038986,77.18056620038543,3.96,2025.0,2027.2,295.6,15.8,5.35,121.7,0.0
manali_leh,15,32.27838404857771,77.1805507720532,4.25,2045.0,2045.2,290.1,18.0,6.21,139.7,0.0
manali_leh,16,32.2809729559848,77.18108933935429,4.542,2065.0,2066.6,292.3,21.4,7.32,161.1,0.0
manali_leh,17,32.28361953980432,77.18053794390784,4.841,2084.0,2086.4,298.8,19.8,6.63,180.9,0.0
manali_leh,18,32.286088969899644,77.17961160860145,5.129,2114.0,2105.4,288.1,19.0,6.6,199.9,0.0
